original_name,Synonym
Abies amabilis,Abies amabilis
Abies grandis,Abies grandis
Abies lasiocarpa,Abies lasiocarpa
Chamaecyparis nootkatensis,Cupressus nootkatensis
Juniperus communis,Juniperus communis
Juniperus scopulorum,Juniperus scopulorum
Larix laricina,Larix laricina
Larix occidentalis,Larix occidentalis
Picea engelmannii,Picea engelmannii
Picea glauca,Picea glauca
Picea mariana,Picea mariana
Picea sitchensis,Picea sitchensis
Pinus albicaulis,Pinus albicaulis
Pinus contorta,Pinus contorta
Pinus monticola,Pinus monticola
Pinus ponderosa,Pinus ponderosa
Pseudotsuga menziesii,Pseudotsuga menziesii
Taxus brevifolia,Taxus brevifolia
Thuja plicata,Thuja plicata
Tsuga heterophylla,Tsuga heterophylla
Tsuga mertensiana,Tsuga mertensiana
Equisetum arvense,Equisetum arvense
Equisetum telmateia,Equisetum telmateia
Equisetum hyemale ssp. affine,Equisetum hyemale
Lycopodium clavatum,Lycopodium clavatum
Adiantum aleuticum,Adiantum pedatum
Athyrium filix-femina ssp. cyclosorum,Athyrium filix-femina
Blechnum spicant,Blechnum spicant
Dryopteris expansa,Dryopteris expansa
Gymnocarpium dryopteris,Gymnocarpium dryopteris
Polypodium glycyrrhiza,Polypodium vulgare
Polystichum munitum,Polystichum munitum
Pteridium aquilinum,Pteridium aquilinum
Acer circinatum,Acer circinatum
Acer glabrum,Acer glabrum
Acer macrophyllum,Acer macrophyllum
Achillea millefolium,Achillea millefolium
Achlys triphylla,Achlys triphylla
Actaea rubra,Actaea rubra
Agoseris glauca,Agoseris glauca
Allium cernuum,Allium cernuum
Allium schoenoprasum var. sibiricum,Allium schoenoprasum
Allium geyeri,Allium geyeri
Alnus incana ssp. tenuifolia,Alnus incana ssp. tenuifolia
Alnus viridis ssp. crispa,Alnus alnobetula ssp. crispa
Alnus viridis ssp. sinuata,Alnus alnobetula ssp. sinuata
Alnus rubra,Alnus rubra
Amelanchier alnifolia,Amelanchier alnifolia
Anaphalis margaritacea,Anaphalis margaritacea
Anemone multifida,Anemone multifida
Angelica genuflexa,Angelica genuflexa
Angelica lucida,Angelica lucida
Antennaria neglecta,Antennaria neglecta
Apocynum cannabinum,Apocynum cannabinum
Apocynum androsaemifolium,Apocynum androsaemifolium
Aquilegia formosa,Aquilegia formosa
Aralia nudicaulis,Aralia nudicaulis
Arbutus menziesii,Arbutus menziesii
