original_name,Synonym,original_sspvar,synonym_sspvar
Equisetum hyemale ssp. affine,Equisetum hyemale subsp. affine,ssp.,subsp.
Athyrium filix-femina ssp. cyclosorum,Athyrium filix-femina subsp. cyclosorum,ssp.,subsp.
Alnus incana ssp. tenuifolia,Alnus incana subsp. tenuifolia,ssp.,subsp.
Alnus viridis ssp. crispa,Alnus viridis subsp. crispa,ssp.,subsp.
Alnus viridis ssp. sinuata,Alnus viridis subsp. sinuata,ssp.,subsp.
Maianthemum racemosum ssp. amplexicaule,Maianthemum racemosum subsp. amplexicaule,ssp.,subsp.
Populus balsamifera ssp. trichocarpa,Populus balsamifera subsp. trichocarpa,ssp.,subsp.
Vicia nigricans ssp. gigantea,Vicia nigricans subsp. gigantea,ssp.,subsp.
Ericameria nauseosa var. nauseosa,Ericameria nauseosa,var.,NA
Potamogeton nitens,Potamogeton natans,NA,NA
Rhodiola rosea var. rosea,Rhodiola rosea,var.,NA
